Find deadlock END OF THIS ALGORITHM
Process with id 1 with resource 7 are involved in cycle
| R/P   |   P1 |   P2 |   P3 |   P4 |   P5 |   P6 |
|-------+------+------+------+------+------+------|
| R1    |    0 |    0 |    0 |   -1 |   -1 |    0 |
| R2    |    0 |   -1 |    0 |   -1 |    0 |   -1 |
| R3    |    0 |   -1 |   -1 |    0 |   -1 |    0 |
| R4    |   -1 |    0 |    0 |    0 |   -1 |    0 |
| R5    |    0 |    0 |    0 |   -1 |    0 |    0 |
| R6    |   -1 |    0 |   -1 |   -1 |    0 |    0 |
| R7    |    1 |    0 |   -1 |   -1 |   -1 |   -1 |
| R8    |    0 |    1 |   -1 |   -1 |   -1 |   -1 |
| R9    |    0 |    0 |   -1 |   -1 |    0 |    0 |
